Maker,Type,Coil Center,Thickness ,Max lines,Suggest Min Trim loss (mm),Max MC weight (KG),Min MC Width (mm),Max MC Width (mm)
CSC,Carbon,NQS,≤0.8,21,5,25000,500,1600
CSC,Carbon,NQS,0.8<T≤2.0,21,6,25000,500,1600
CSC,Carbon,NQS,2.0<T≤3.0,16,6,25000,500,1600
CSC,Carbon,NQS,3.0<T≤4.0,12,8,25000,500,1600
CSC,Carbon,NQS,4.0<T≤5.0,8,10,25000,500,1600
CSC,Carbon,NQS,5.0<T≤6.0,6,12,25000,500,1600
CSC,Carbon,NQS,6.0<T≤8.0,6,16,25000,500,1600
CSVC,Carbon,NQS,≤0.8,21,5,25000,500,1600
CSVC,Carbon,NQS,0.8<T≤2.0,21,6,25000,500,1600
CSVC,Carbon,NQS,2.0<T≤3.0,16,6,25000,500,1600
CSVC,Carbon,NQS,3.0<T≤4.0,12,8,25000,500,1600
CSVC,Carbon,NQS,4.0<T≤5.0,8,10,25000,500,1600
CSVC,Carbon,NQS,5.0<T≤6.0,6,12,25000,500,1600
CSVC,Carbon,NQS,6.0<T≤8.0,6,16,25000,500,1600
JFE,Carbon,NQS,≤0.8,21,5,25000,500,1600
JFE,Carbon,NQS,0.8<T≤2.0,21,6,25000,500,1600
JFE,Carbon,NQS,2.0<T≤3.0,16,6,25000,500,1600
JFE,Carbon,NQS,3.0<T≤4.0,12,8,25000,500,1600
JFE,Carbon,NQS,4.0<T≤5.0,8,10,25000,500,1600
JFE,Carbon,NQS,5.0<T≤6.0,6,12,25000,500,1600
JFE,Carbon,NQS,6.0<T≤8.0,6,16,25000,500,1600
NSC,Carbon,NQS,≤0.8,21,5,25000,500,1600
NSC,Carbon,NQS,0.8<T≤2.0,21,6,25000,500,1600
NSC,Carbon,NQS,2.0<T≤3.0,16,6,25000,500,1600
NSC,Carbon,NQS,3.0<T≤4.0,12,8,25000,500,1600
NSC,Carbon,NQS,4.0<T≤5.0,8,10,25000,500,1600
NSC,Carbon,NQS,5.0<T≤6.0,6,12,25000,500,1600
NSC,Carbon,NQS,6.0<T≤8.0,6,16,25000,500,1600
POSCO,Carbon,NQS,≤0.8,21,5,25000,500,1600
POSCO,Carbon,NQS,0.8<T≤2.0,21,6,25000,500,1600
POSCO,Carbon,NQS,2.0<T≤3.0,16,6,25000,500,1600
POSCO,Carbon,NQS,3.0<T≤4.0,12,8,25000,500,1600
POSCO,Carbon,NQS,4.0<T≤5.0,8,10,25000,500,1600
POSCO,Carbon,NQS,5.0<T≤6.0,6,12,25000,500,1600
POSCO,Carbon,NQS,6.0<T≤8.0,6,16,25000,500,1600
POSCOVN,Carbon,NQS,≤0.8,21,5,25000,500,1600
POSCOVN,Carbon,NQS,0.8<T≤2.0,21,6,25000,500,1600
POSCOVN,Carbon,NQS,2.0<T≤3.0,16,6,25000,500,1600
POSCOVN,Carbon,NQS,3.0<T≤4.0,12,8,25000,500,1600
POSCOVN,Carbon,NQS,4.0<T≤5.0,8,10,25000,500,1600
